target,max_depth,Score,Baseline,Improvement,criterion,max_features,class_weight
country_02,15,0.5529777720173676,0.5195385911476897,0.0334391808696779,entropy,log2,balanced_subsample
country_02,17,0.5518760935778627,0.5195385911476897,0.03233750243017297,gini,log2,balanced_subsample
country_02,16,0.5517464843496857,0.5195385911476897,0.03220789320199591,gini,log2,balanced
country_02,15,0.5514872658933316,0.5195385911476897,0.03194867474564189,gini,auto,balanced_subsample
country_02,15,0.5514872658933316,0.5195385911476897,0.03194867474564189,gini,sqrt,balanced_subsample
country_02,24,0.5512280474369775,0.5195385911476897,0.031689456289287765,gini,log2,balanced_subsample
country_02,17,0.5509688289806234,0.5195385911476897,0.03143023783293364,entropy,log2,balanced_subsample
country_02,16,0.5509040243665349,0.5195385911476897,0.03136543321884511,gini,log2,balanced_subsample
country_02,19,0.5507096105242694,0.5195385911476897,0.031171019376579623,entropy,log2,balanced
country_02,26,0.5504503920679152,0.5195385911476897,0.030911800920225496,entropy,sqrt,balanced
country_02,26,0.5504503920679152,0.5195385911476897,0.030911800920225496,entropy,auto,balanced
country_02,22,0.549672736698853,0.5195385911476897,0.030134145551163227,gini,auto,balanced
country_02,22,0.549672736698853,0.5195385911476897,0.030134145551163227,gini,sqrt,balanced
country_02,18,0.5496079320847644,0.5195385911476897,0.030069340937074696,entropy,auto,balanced_subsample
country_02,17,0.5496079320847644,0.5195385911476897,0.030069340937074696,entropy,sqrt,balanced
country_02,18,0.5496079320847644,0.5195385911476897,0.030069340937074696,entropy,sqrt,balanced_subsample
country_02,17,0.5496079320847644,0.5195385911476897,0.030069340937074696,entropy,auto,balanced
country_02,17,0.5494783228565874,0.5195385911476897,0.029939731708897632,gini,log2,balanced
country_02,22,0.5493487136284103,0.5195385911476897,0.02981012248072057,entropy,log2,balanced
country_02,20,0.5492191044002332,0.5195385911476897,0.029680513252543506,gini,auto,balanced_subsample
country_02,15,0.5492191044002332,0.5195385911476897,0.029680513252543506,gini,auto,balanced
country_02,15,0.5492191044002332,0.5195385911476897,0.029680513252543506,gini,sqrt,balanced
country_02,20,0.5492191044002332,0.5195385911476897,0.029680513252543506,gini,sqrt,balanced_subsample
country_02,23,0.5490894951720563,0.5195385911476897,0.029550904024366553,entropy,log2,balanced
country_02,19,0.5490246905579678,0.5195385911476897,0.02948609941027802,entropy,sqrt,balanced_subsample
country_02,19,0.5490246905579678,0.5195385911476897,0.02948609941027802,entropy,auto,balanced_subsample
country_02,19,0.5488950813297907,0.5195385911476897,0.02935649018210096,entropy,log2,balanced_subsample
country_02,25,0.5488302767157022,0.5195385911476897,0.029291685568012427,entropy,auto,balanced
country_02,25,0.5488302767157022,0.5195385911476897,0.029291685568012427,entropy,sqrt,balanced
country_02,20,0.5487006674875251,0.5195385911476897,0.029162076339835363,gini,auto,balanced
country_02,20,0.5487006674875251,0.5195385911476897,0.029162076339835363,gini,sqrt,balanced
country_02,20,0.548571058259348,0.5195385911476897,0.0290324671116583,entropy,log2,balanced_subsample
country_02,21,0.5485062536452595,0.5195385911476897,0.02896766249756977,entropy,log2,balanced_subsample
country_02,26,0.5485062536452595,0.5195385911476897,0.02896766249756977,gini,sqrt,balanced
country_02,26,0.5485062536452595,0.5195385911476897,0.02896766249756977,gini,auto,balanced
country_02,15,0.548441449031171,0.5195385911476897,0.028902857883481237,entropy,auto,balanced
country_02,24,0.548441449031171,0.5195385911476897,0.028902857883481237,entropy,log2,balanced
country_02,15,0.548441449031171,0.5195385911476897,0.028902857883481237,entropy,sqrt,balanced
country_02,19,0.5483766444170824,0.5195385911476897,0.028838053269392705,entropy,sqrt,balanced
country_02,15,0.5483766444170824,0.5195385911476897,0.028838053269392705,entropy,auto,balanced_subsample
country_02,19,0.5483766444170824,0.5195385911476897,0.028838053269392705,entropy,auto,balanced
country_02,15,0.5483766444170824,0.5195385911476897,0.028838053269392705,entropy,sqrt,balanced_subsample
country_02,18,0.548311839802994,0.5195385911476897,0.028773248655304284,entropy,log2,balanced
country_02,23,0.548311839802994,0.5195385911476897,0.028773248655304284,gini,log2,balanced
country_02,17,0.5481174259607284,0.5195385911476897,0.02857883481303869,entropy,auto,balanced_subsample
country_02,17,0.5481174259607284,0.5195385911476897,0.02857883481303869,entropy,sqrt,balanced_subsample
country_02,16,0.5481174259607284,0.5195385911476897,0.02857883481303869,entropy,log2,balanced_subsample
country_02,24,0.5481174259607284,0.5195385911476897,0.02857883481303869,entropy,sqrt,balanced
country_02,24,0.5481174259607284,0.5195385911476897,0.02857883481303869,entropy,auto,balanced
country_02,23,0.5481174259607284,0.5195385911476897,0.02857883481303869,gini,log2,balanced_subsample
country_02,21,0.5480526213466399,0.5195385911476897,0.028514030198950158,gini,auto,balanced_subsample
country_02,21,0.5480526213466399,0.5195385911476897,0.028514030198950158,gini,sqrt,balanced_subsample
country_02,20,0.5479878167325514,0.5195385911476897,0.028449225584861626,entropy,auto,balanced_subsample
country_02,20,0.5479878167325514,0.5195385911476897,0.028449225584861626,entropy,sqrt,balanced_subsample
country_02,23,0.5479878167325514,0.5195385911476897,0.028449225584861626,entropy,auto,balanced
country_02,23,0.5479878167325514,0.5195385911476897,0.028449225584861626,entropy,sqrt,balanced
country_02,22,0.5479230121184628,0.5195385911476897,0.028384420970773094,gini,sqrt,balanced_subsample
country_02,22,0.5479230121184628,0.5195385911476897,0.028384420970773094,gini,auto,balanced_subsample
country_02,17,0.5478582075043743,0.5195385911476897,0.028319616356684563,gini,auto,balanced_subsample
country_02,24,0.5478582075043743,0.5195385911476897,0.028319616356684563,entropy,auto,balanced_subsample
country_02,24,0.5478582075043743,0.5195385911476897,0.028319616356684563,entropy,sqrt,balanced_subsample
country_02,17,0.5478582075043743,0.5195385911476897,0.028319616356684563,gini,sqrt,balanced_subsample
country_02,26,0.5477285982761972,0.5195385911476897,0.0281900071285075,gini,sqrt,balanced_subsample
country_02,26,0.5477285982761972,0.5195385911476897,0.0281900071285075,gini,auto,balanced_subsample
country_02,26,0.5477285982761972,0.5195385911476897,0.0281900071285075,entropy,log2,balanced
country_02,19,0.5476637936621087,0.5195385911476897,0.028125202514418968,gini,log2,balanced
country_02,16,0.5475341844339316,0.5195385911476897,0.027995593286241904,gini,sqrt,balanced
